"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","9:52.9","9:52.9","1.61","6:08","5:44","174","199","14","8","311","Kein Gewicht","625","Kein Gewicht","123","266","","1.27","9.6","7.8","154","","2:47","185","8:03","5:00","",""
"2","0:08.6","10:01","0.00","34:05","18:39","188","190","0","1","63","Kein Gewicht","166","Kein Gewicht","34","","","1.26","6.2","5.2","2","","7:19","103","0:04","15:52","",""
"Übersicht","10:01","10:01","1.61","6:13","5:49","175","199","14","10","307","Kein Gewicht","625","Kein Gewicht","122","266","","1.27","9.5","7.7","157","","2:47","185","8:07","5:02","",""
