"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","10:39","10:39","1.61","6:37","6:31","171","197","12","2","304","Kein Gewicht","562","Kein Gewicht","145","290","","1.03","8.5","8.3","141","","4:18","226","10:39","6:37","",""
"2","9:47.7","20:27","1.36","7:12","7:12","180","198","1","13","269","Kein Gewicht","588","Kein Gewicht","123","288","","1.12","9.4","8.4","137","","3:31","176","8:11","6:01","",""
"Übersicht","20:27","20:27","2.97","6:53","6:50","175","198","13","15","287","Kein Gewicht","588","Kein Gewicht","134","289","","1.07","8.9","8.3","278","","3:31","226","18:50","6:21","",""
