"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","6:34.0","6:34.0","1.42","4:38","4:34","155","197","13","0","457","5.35","580","6.78","160","262","","1.34","10.0","7.5","105","","3:50","220","6:31","4:36","",""
"Übersicht","6:34.0","6:34.0","1.42","4:38","4:34","155","197","13","0","457","5.35","580","6.78","160","262","","1.34","10.0","7.5","105","","3:50","220","6:31","4:36","",""
