"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","9:38.4","9:38.4","1.61","5:59","5:36","170","199","15","0","358","Kein Gewicht","546","Kein Gewicht","141","289","","1.19","9.8","8.3","136","","4:09","226","9:03","5:37","",""
"2","7:23.9","17:02","1.34","5:32","5:31","190","201","0","7","361","Kein Gewicht","504","Kein Gewicht","151","284","","1.20","9.7","8.1","118","","4:07","163","7:16","5:26","",""
"Übersicht","17:02","17:02","2.95","5:47","5:34","179","201","15","7","359","Kein Gewicht","546","Kein Gewicht","145","287","","1.20","9.7","8.2","254","","4:07","226","16:19","5:32","",""
