"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","8:45.7","8:45.7","1.61","5:27","5:15","167","193","25","7","397","4.64","578","6.76","152","285","","1.20","9.8","8.2","139","","4:30","165","8:37","5:21","",""
"2","8:43.9","17:30","1.61","5:26","5:19","195","201","9","2","384","4.49","460","5.38","152","275","","1.22","9.7","8.0","160","","4:33","167","8:22","5:12","",""
"3","10:10","27:40","1.61","6:19","6:10","183","201","6","9","309","3.61","459","5.37","143","278","","1.09","8.7","7.9","165","","4:38","231","9:56","6:10","",""
"4","10:59","38:38","1.61","6:49","6:44","177","192","6","14","278","3.25","528","6.18","135","282","","1.06","8.6","8.1","164","","4:40","167","10:15","6:22","",""
"5","2:21.8","41:00","0.46","5:08","5:05","176","192","1","3","398","4.65","547","6.40","158","265","","1.24","9.5","7.7","40","","4:15","172","2:19","5:01","",""
"Übersicht","41:00","41:00","6.90","5:57","5:48","180","201","47","35","341","3.99","578","6.76","146","279","","1.14","9.2","8.0","668","","4:15","231","39:29","5:43","",""
