"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","1:48.3","1:48.3","0.22","8:09","7:26","150","166","2","0","235","2.75","437","5.11","118","305","","1.00","9.0","9.1","25","","5:31","158","1:15","5:39","",""
"2","0:04.5","1:52.9","0.00","20:50","10:51","165","166","0","0","189","2.21","263","3.08","125","324","","0.66","7.1","11.2","1","","8:45","156","0:04","18:25","",""
"3","8:33.0","10:26","1.61","5:19","5:14","190","200","10","0","393","4.60","493","5.77","149","280","","1.25","10.0","8.0","156","","4:31","165","8:16","5:08","",""
"4","9:18.3","19:44","1.61","5:47","5:37","196","201","8","2","365","4.27","461","5.39","157","290","","1.12","9.5","8.4","183","","4:50","222","9:18","5:47","",""
"5","8:15.2","27:59","1.48","5:36","5:47","198","201","0","17","345","4.04","426","4.98","159","286","","1.12","9.5","8.4","169","","5:03","163","8:12","5:33","",""
"Übersicht","27:59","27:59","4.92","5:41","5:37","192","201","21","19","359","4.20","493","5.77","152","287","","1.15","9.6","8.4","534","","4:31","222","27:05","5:30","",""
