"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","9:58.7","9:58.7","1.61","6:12","6:15","180","200","16","7","336","Kein Gewicht","505","Kein Gewicht","132","277","","1.20","9.6","8.0","173","","4:39","165","8:47","5:27","",""
"2","6:45.2","16:44","1.23","5:29","5:32","191","197","0","17","351","Kein Gewicht","455","Kein Gewicht","147","274","","1.24","9.8","7.9","118","","4:36","165","6:23","5:11","",""
"Übersicht","16:44","16:44","2.84","5:53","5:46","184","200","16","24","342","Kein Gewicht","505","Kein Gewicht","138","276","","1.22","9.7","8.0","291","","4:36","165","15:10","5:20","",""
