"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","9:35.4","9:35.4","1.61","5:58","5:49","147","192","16","7","355","Kein Gewicht","900","Kein Gewicht","146","295","","1.14","9.5","8.5","137","","2:08","203","9:15","5:45","",""
"2","10:39","20:15","1.61","6:37","6:32","183","197","14","20","317","Kein Gewicht","631","Kein Gewicht","141","298","","1.09","9.3","8.7","179","","3:50","183","9:52","6:08","",""
"3","5:20.8","25:35","0.86","6:13","6:15","192","209","1","7","319","Kein Gewicht","678","Kein Gewicht","145","285","","1.12","9.0","8.3","96","","2:52","183","5:01","5:50","",""
"Übersicht","25:35","25:35","4.08","6:17","6:11","172","209","31","34","332","Kein Gewicht","900","Kein Gewicht","144","294","","1.11","9.3","8.5","412","","2:08","203","24:08","5:55","",""
