"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","9:40.6","9:40.6","1.61","6:01","5:46","148","187","14","1","356","Kein Gewicht","825","Kein Gewicht","146","285","","1.16","9.4","8.3","133","","2:23","219","9:09","5:41","",""
"2","1:48.0","11:29","0.39","4:40","4:41","185","199","0","6","385","Kein Gewicht","606","Kein Gewicht","146","240","","1.38","9.2","6.9","31","","3:00","228","1:47","4:37","",""
"Übersicht","11:29","11:29","2.00","5:45","5:34","153","199","14","7","360","Kein Gewicht","825","Kein Gewicht","146","279","","1.19","9.3","8.1","164","","2:23","228","10:56","5:29","",""
