"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","7:56.7","7:56.7","1.61","4:56","4:57","177","196","11","7","411","4.81","566","6.62","149","266","","1.32","10.1","7.6","137","","3:39","172","7:38","4:45","",""
"2","2:26.0","10:23","0.56","4:21","4:17","200","204","0","5","471","5.51","552","6.46","165","252","","1.43","10.3","7.2","49","","3:47","175","2:26.0","4:21","",""
"Übersicht","10:23","10:23","2.17","4:47","4:46","183","204","11","12","425","4.97","566","6.62","153","263","","1.35","10.1","7.5","186","","3:39","175","10:04","4:38","",""
