"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","10:05","10:05","1.61","6:16","6:03","173","194","16","11","333","Kein Gewicht","576","Kein Gewicht","144","294","","1.11","9.5","8.6","152","","3:39","169","9:25","5:51","",""
"2","10:22","20:28","1.61","6:27","6:28","186","198","1","12","309","Kein Gewicht","583","Kein Gewicht","132","284","","1.16","9.6","8.3","169","","3:44","163","9:02","5:37","",""
"3","9:24.3","29:52","1.61","5:51","5:50","194","202","1","3","343","Kein Gewicht","425","Kein Gewicht","156","285","","1.09","9.1","8.3","157","","5:03","223","9:24","5:50","",""
"4","0:10.0","30:02","0.02","8:19","6:02","198","198","0","0","332","Kein Gewicht","364","Kein Gewicht","159","291","","1.07","9.3","8.7","3","","5:29","161","0:09","7:28","",""
"Übersicht","30:02","30:02","4.85","6:12","6:07","184","202","18","25","328","Kein Gewicht","583","Kein Gewicht","144","288","","1.12","9.4","8.4","481","","3:39","223","28:00","5:47","",""
