"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","8:21.5","8:21.5","1.61","5:12","5:14","177","194","3","7","384","4.49","484","5.66","155","284","","1.24","10.0","8.1","141","","4:37","163","8:19","5:10","",""
"2","8:26.1","16:48","1.61","5:14","5:24","195","196","4","2","379","4.43","506","5.92","157","288","","1.18","9.8","8.3","156","","4:23","161","8:26","5:14","",""
"3","9:36.5","26:24","1.61","5:58","5:56","193","199","9","4","341","3.99","473","5.53","145","288","","1.14","9.6","8.4","183","","4:50","163","8:59","5:35","",""
"4","9:29.3","35:53","1.61","5:54","5:50","196","201","12","6","351","4.11","514","6.01","159","291","","1.07","9.2","8.7","188","","5:14","236","9:29","5:54","",""
"5","10:02","45:55","1.61","6:14","6:09","197","199","8","0","334","3.91","378","4.42","160","294","","1.01","9.0","8.9","205","","5:48","163","10:02","6:14","",""
"6","11:10","57:05","1.61","6:56","6:48","193","198","14","3","302","3.53","452","5.29","155","297","","0.95","8.5","9.1","217","","6:17","214","11:04","6:53","",""
"7","2:22.4","59:27","0.36","6:40","6:33","179","194","5","0","325","3.80","487","5.70","157","298","","0.96","8.6","9.0","36","","6:06","165","2:20","6:34","",""
"Übersicht","59:27","59:27","10.01","5:56","5:55","192","201","55","23","345","4.04","514","6.01","155","291","","1.08","9.3","8.6","1,126","","4:23","236","58:39","5:51","",""
