"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","9:12.7","9:12.7","1.61","5:43","5:36","153","196","3","4","361","Kein Gewicht","545","Kein Gewicht","155","290","","1.14","9.6","8.5","132","","4:01","161","9:08","5:41","",""
"2","9:38.9","18:52","1.61","6:00","5:55","189","206","1","0","329","Kein Gewicht","506","Kein Gewicht","143","285","","1.16","9.1","8.0","172","","4:10","169","9:17","5:46","",""
"3","6:49.8","25:41","0.95","7:13","7:04","185","205","4","1","268","Kein Gewicht","710","Kein Gewicht","117","263","","1.14","8.3","7.4","120","","2:56","231","5:42","6:02","",""
"Übersicht","25:41","25:41","4.16","6:10","6:04","175","206","9","5","324","Kein Gewicht","710","Kein Gewicht","140","283","","1.15","9.1","8.1","425","","2:56","231","24:07","5:47","",""
