"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","10:24","10:24","1.61","6:28","6:31","158","190","2","8","344","3.53","549","5.63","143","316","","1.07","9.2","8.7","148","","4:25","156","10:07","6:17","",""
"2","11:16","21:41","1.61","7:00","6:57","182","192","4","7","318","3.26","474","4.86","140","303","","1.02","8.6","8.6","174","","5:26","222","10:46","6:41","",""
"3","10:52","32:32","1.61","6:45","6:35","190","206","12","9","337","3.46","815","8.36","144","300","","1.00","8.5","8.6","180","","2:46","186","10:52","6:45","",""
"4","3:37.3","36:10","0.53","6:50","6:24","199","205","14","1","377","3.87","486","4.98","148","302","","0.99","8.7","8.9","64","","5:16","161","3:29","6:34","",""
"Übersicht","36:10","36:10","5.36","6:45","6:40","179","206","31","25","337","3.46","815","8.36","143","306","","1.03","8.8","8.6","566","","2:46","222","35:14","6:34","",""
