"Runden","Zeit","Gesamtzeit","Distanzkm","Ø Pacemin/km","Durchschnittliche SAPmin/km","Ø Herzfrequenzbpm","Maximale Herzfrequenzbpm","Anstieg gesamtm","Abstieg gesamtm","Ø LeistungW","Ø Watt/kg","Max. LeistungW","Max. W/kg","Ø Schrittfrequenz (Laufen)spm","Ø Bodenkontaktzeitms","Durchschnittliche Balance der Bodenkontaktzeit%","Ø Schrittlängem","Ø vertikale Bewegungcm","Durchschnittliches vertikales Verhältnis%","KalorienC","Ø Temperatur","Beste Pacemin/km","Max. Schrittfrequenz (Laufen)spm","Zeit in Bewegung","Ø Pace in Bewegungmin/km","Ø Geschwindigkeitsverlust bei Bodenkontaktcm/s","Ø Geschwindigkeitsverlust bei Bodenkontakt %%"
"1","9:52.5","9:52.5","1.61","6:08","6:04","154","193","13","6","340","Kein Gewicht","499","Kein Gewicht","148","297","","1.10","9.4","8.6","133","","4:48","159","9:34","5:57","",""
"2","9:58.9","19:51","1.61","6:12","6:09","193","199","5","5","334","Kein Gewicht","435","Kein Gewicht","149","295","","1.08","9.4","8.7","155","","5:05","161","9:37","5:59","",""
"3","10:03","29:54","1.61","6:14","6:09","191","199","3","3","327","Kein Gewicht","400","Kein Gewicht","154","296","","1.04","9.2","8.8","158","","5:12","161","9:59","6:12","",""
"4","4:06.0","34:00","0.68","6:00","6:04","197","200","0","2","333","Kein Gewicht","367","Kein Gewicht","158","295","","1.06","9.3","8.8","66","","5:36","161","4:06.0","6:00","",""
"5","0:13.6","34:14","0.02","11:28","7:27","193","197","0","0","69","Kein Gewicht","347","Kein Gewicht","43","294","","1.01","6.9","6.8","3","","5:45","155","0:13","10:57","",""
"Übersicht","34:14","34:14","5.53","6:11","6:07","181","200","21","16","332","Kein Gewicht","499","Kein Gewicht","151","296","","1.07","9.3","8.7","517","","4:48","161","33:29","6:03","",""
